ID	LONGITUDE	LATITUDE	STREET	SUBURB	RESTRICTIONS	RESTRICTED_DAYS_AND_TIMES
839	153.053809	-27.4864303	CAVENDISH ROAD	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
840	153.0283385	-27.47133324	MARY STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
841	153.0395016	-27.48922985	WELLINGTON ROAD	EAST BRISBANE	Loading Zone	  -   ALL OTHER TIMES
842	153.1868424	-27.46858796	RICHARD STREET	LOTA	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
843	152.9308473	-27.40406224	ARCHDALE ROAD	FERNY GROVE	Loading Zone Passengers 2 Min. Max	 8am -  9am SCHOOLDAYS
844	152.9924596	-27.48569086	BUS LANE	TOOWONG	Loading Zone	
845	153.0215002	-27.45861031	GREGORY TERRACE	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 MON-FRI 7 30AM -  9 00PM
846	153.0472446	-27.52300974	DENHAM TERRACE	TARRAGINDI	Loading Zone	
847	153.0284607	-27.54441632	INDUSTRIES ROAD	SALISBURY	Loading Zone	
848	153.0395141	-27.48917459	WELLINGTON ROAD	EAST BRISBANE	Loading Zone	  -   ALL OTHER TIMES
849	153.0311959	-27.46034475	WARREN STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
850	153.051023	-27.48148778	OAKLANDS PARADE	EAST BRISBANE	Loading Zone Passengers 2 Min. Max	 7am -  4pm MON-FRI 8 -  11am SAT
851	152.9442484	-27.44252143	SETTLEMENT ROAD	THE GAP	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
852	153.0259548	-27.463436	ASTOR TERRACE	SPRING HILL	Loading Zone Passengers 2 Min. Max	
853	153.0339839	-27.47968338	RIVER TERRACE	KANGAROO POINT	Loading Zone	
854	153.0569268	-27.49584813	OLD CLEVELAND ROAD	COORPAROO	Loading Zone	
855	153.0154309	-27.45187707	MUSK AVENUE	KELVIN GROVE	Loading Zone	 6am -  7pm MON-FRI
856	153.0316285	-27.43751273	CARTWRIGHT STREET	WINDSOR	Loading Zone	
857	153.0119812	-27.48117562	BOUNDARY STREET	WEST END	Loading Zone Passengers 2 Min. Max	 8am -  5 30pm MON-FRI 8am -  12noon SAT
858	153.0243935	-27.46188746	LITTLE EDWARD STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	 9am -  4pm MON-FRI
859	153.0573867	-27.45101605	OXFORD STREET	BULIMBA	Loading Zone Passengers 2 Min. Max	
860	153.0052036	-27.48076699	ASHINGTON STREET	WEST END	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
861	153.026437	-27.47015767	ELIZABETH STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  5 00AM -  7 00AM MON-FRI 9 00AM -  4 00PM SAT 5 00AM -  7 00PM
862	153.0302317	-27.47160531	EDWARD STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 5am -  4pm MON-FRI
863	152.9948583	-27.48201944	LANDSBOROUGH TERRACE	TOOWONG	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  4pm MON-FRI
864	153.0268879	-27.47231301	MARY STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 5am -  7pm MON-FRI
865	153.021628	-27.46094669	NORTH STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	
866	153.0377853	-27.46098468	MALT STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
867	153.1542632	-27.45542179	WYNNUM ROAD	WYNNUM WEST	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
868	153.0106323	-27.45115967	PROSPECT TERRACE	KELVIN GROVE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  4pm MON-FRI
869	153.0528702	-27.46654842	HOLLINS CRESCENT	NEW FARM	Loading Zone Passengers 2 Min. Max	
870	153.0598853	-27.57620576	BOORMAN STREET	SUNNYBANK	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
871	152.9746771	-27.55385938	OXLEY STATION ROAD	OXLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
872	153.0010085	-27.49313617	HIRON STREET	ST LUCIA	Loading Zone Passengers 2 Min. Max	
873	153.0280328	-27.48762472	CLARENCE STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	 7am -  6pm MON-FRI 7am -  12noon SAT
874	153.0147865	-27.44837776	LESTRANGE TERRACE	KELVIN GROVE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
875	153.0048857	-27.47665991	RIVERSIDE DRIVE	WEST END	Loading Zone Passengers 2 Min. Max	
876	153.0416844	-27.45253929	STRATTON STREET	NEWSTEAD	Loading Zone	
877	152.9888776	-27.41683012	HURDCOTTE STREET	ENOGGERA	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
878	153.0328662	-27.42935322	ROBLANE STREET	WINDSOR	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  4pm MON-FRI 8am -  12noon SAT
879	153.0238889	-27.46946309	ADELAIDE STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
880	152.989175	-27.41680593	HURDCOTTE STREET	ENOGGERA	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
881	153.0307964	-27.50035005	CORNWALL STREET	WOOLLOONGABBA	Loading Zone Passengers 2 Min. Max	
882	153.0803883	-27.56506431	ENDSLEIGH STREET	MACGREGOR	Loading Zone Passengers 2 Min. Max	 7am -  6pm MON-FRI
883	153.0500551	-27.4586881	MACQUARIE STREET	TENERIFFE	Loading Zone	
884	153.0322157	-27.43647758	GRANTSON STREET	WINDSOR	Loading Zone	 MON-FRI 8 00AM -  5 30PM
885	153.0269923	-27.47353814	MARGARET STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  3 30pm MON-FRI
886	152.9169252	-27.56073393	MACFARLANE STREET	MIDDLE PARK	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
887	153.0422138	-27.33243894	AQUATIC CENTRE ACCESS	FITZGIBBON	Loading Zone	
888	153.0280651	-27.44561479	BUTTERFIELD STREET	HERSTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 MON-FRI 8 00AM -  3 30PM
889	153.0056133	-27.47135583	MCDOUGALL STREET	MILTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm MON-FRI
890	153.0055624	-27.46547686	FINCHLEY STREET	MILTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  6pm MON-FRI 7am -  12noon SAT
891	153.080012	-27.55660175	LOGAN ROAD	UPPER MOUNT GRAVATT	Loading Zone	
892	153.0502015	-27.49913705	KNOWSLEY STREET	STONES CORNER	Loading Zone	
893	153.0275473	-27.47445932	ALICE STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	  -   ALL OTHER TIMES
894	152.9692861	-27.41404871	GLEN RETREAT ROAD	MITCHELTON	Loading Zone Passengers 2 Min. Max	 7am -  9am  2 -  3 30pm SCHOOLDAYS
895	153.0455856	-27.46546147	VILLIERS STREET	NEW FARM	Loading Zone	 7am -  5pm MON-FRI
896	153.031521	-27.43870186	BRYDEN STREET	WINDSOR	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  4pm MON-FRI
897	152.9496154	-27.44474313	PAMMAY STREET	THE GAP	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm MON-FRI
898	153.0830312	-27.58496425	DEMIGRE STREET	EIGHT MILE PLAINS	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
899	153.0108815	-27.48085777	VULTURE STREET	WEST END	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI
900	153.0202757	-27.48042142	MERIVALE STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI
901	153.0437773	-27.4415986	ROSS STREET	NEWSTEAD	Loading Zone	
902	153.0612302	-27.58797378	BEENLEIGH ROAD	SUNNYBANK	Loading Zone Passengers 2 Min. Max	
903	153.0318933	-27.46360964	HOWARD STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	
904	153.025976	-27.48731478	CLARENCE STREET	SOUTH BRISBANE	Loading Zone	
905	153.0367409	-27.45920057	BERWICK STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
906	152.9757006	-27.41274687	KEDRON AVENUE	MITCHELTON	Loading Zone Passengers 2 Min. Max	
907	153.0317532	-27.45884933	LITTLE STREET	FORTITUDE VALLEY	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
908	153.056712	-27.40422015	LESLIE STREET	NUNDAH	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
909	153.0451988	-27.44611867	AUSTIN STREET	NEWSTEAD	Loading Zone	
910	153.0257692	-27.46465896	WICKHAM TERRACE	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm MON-FRI
911	153.0139678	-27.45373536	MUSK AVENUE	KELVIN GROVE	Loading Zone	 7am -  7pm MON-FRI
912	153.0176138	-27.53099932	IPSWICH ROAD	MOOROOKA	Loading Zone	 9am -  5pm MON-FRI
913	152.9872924	-27.48615762	KENSINGTON TERRACE	TOOWONG	Loading Zone Passengers 2 Min. Max	  -   ALL OTHER TIMES
914	153.01657	-27.47715611	CORDELIA STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
915	152.9653373	-27.52699723	CUBBERLA STREET	FIG TREE POCKET	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
916	153.0223756	-27.47959338	GREY STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
917	153.0321656	-27.45688064	ESTHER STREET	FORTITUDE VALLEY	Loading Zone	 7am -  6pm MON-FRI 7am -  12noon SAT
918	153.000703	-27.4689374	LUCY STREET	MILTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
919	153.0526281	-27.57611998	GLENDOWER STREET	SUNNYBANK	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
920	152.9205029	-27.55187711	HORIZON DRIVE	MIDDLE PARK	Loading Zone Passengers 2 Min. Max	
921	153.0095863	-27.49449471	SIR FRED SCHONELL DRIVE	ST LUCIA	Loading Zone	
922	153.0310506	-27.45628431	WARRY STREET	FORTITUDE VALLEY	Loading Zone	 8am -  5 30pm MON-FRI
923	153.0247814	-27.39255234	RODE ROAD	CHERMSIDE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
924	152.9173201	-27.55864356	MACFARLANE STREET	MIDDLE PARK	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 -  3 30 SCHOOLDAYS
925	153.0253652	-27.47098693	ELIZABETH STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
926	153.0245113	-27.5357434	SHERLEY STREET	MOOROOKA	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
927	153.0973462	-27.49246996	ZAHEL STREET	CARINA	Loading Zone Passengers 2 Min. Max	
928	153.0606508	-27.50761046	LADE STREET	COORPAROO	Loading Zone	
929	153.0616291	-27.40095194	STATION STREET	NUNDAH	Loading Zone Passengers 2 Min. Max	
930	153.0601462	-27.45153312	OXFORD STREET	BULIMBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
931	153.0352783	-27.46626756	MAIN STREET	KANGAROO POINT	Loading Zone	
932	153.0167472	-27.48100836	EDMONDSTONE STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	 7 -  9 30am  2 30 -  4pm SCHOOLDAYS
933	153.0267632	-27.46264538	HENRY STREET	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 6am -  6pm  6am -  12noon MON-FRI
934	153.0611573	-27.40207475	ASPINALL STREET	NUNDAH	Loading Zone	
935	153.0408982	-27.49161911	DESHON STREET	WOOLLOONGABBA	Loading Zone	 7am -  7pm MON-FRI
936	153.0382322	-27.45364464	BROOKES STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
937	152.9576792	-27.61232507	WOOGAROO STREET	FOREST LAKE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
938	153.0566942	-27.49482584	HOLDSWORTH STREET	COORPAROO	Loading Zone	
939	152.9841159	-27.50018624	TURNER STREET	INDOOROOPILLY	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
940	153.0281769	-27.46645108	CREEK STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
941	153.0304168	-27.46063756	SCHOOL STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	
942	153.0230686	-27.48334756	STEPHENS ROAD	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
943	153.0292716	-27.45457377	WATER STREET	FORTITUDE VALLEY	Loading Zone	 9am -  4pm MON-FRI
944	153.0531532	-27.45052971	OXFORD STREET	BULIMBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
945	153.0261055	-27.47027208	ELIZABETH STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
946	153.0079754	-27.46687425	GRANZELLA STREET	MILTON	Loading Zone	
947	153.0680204	-27.32087943	HANCOCK STREET	SANDGATE	Loading Zone	
948	153.0540391	-27.49036515	MORLEY STREET	COORPAROO	Loading Zone	
949	153.030919	-27.45954654	BARRY PARADE	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
950	153.0269646	-27.46284752	HENRY STREET	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
951	153.0474618	-27.52287635	ORFORD STREET	TARRAGINDI	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
952	153.0033935	-27.46039077	HAYWARD STREET	PADDINGTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  10am DAILY
953	152.9737127	-27.44951532	LYNWOOD CRESCENT	ASHGROVE	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
954	153.0503223	-27.4622624	MACQUARIE STREET	TENERIFFE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  5pm  7am -  12noon MON-FRI
955	153.0343967	-27.46199054	IVORY LANE	FORTITUDE VALLEY	Loading Zone	
956	153.0361364	-27.46940541	DEAKIN STREET	KANGAROO POINT	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
957	153.0129128	-27.4817363	SUSSEX STREET	WEST END	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
958	152.9451827	-27.4424848	YURUGA STREET	THE GAP	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
959	153.055135	-27.49658745	OLD CLEVELAND ROAD	COORPAROO	Loading Zone	
960	153.0080942	-27.46916328	LITTLE CRIBB STREET	MILTON	Loading Zone	 7am -  6pm MON-FRI 7am -  12noon SAT
961	153.1759768	-27.4420615	WYNNUM ESPLANADE	WYNNUM	Loading Zone Passengers 2 Min. Max	
962	152.978746	-27.4865701	BYWONG STREET	TOOWONG	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
963	153.024935	-27.47228232	GEORGE STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
964	152.9578894	-27.62618506	CENTENNIAL WAY	FOREST LAKE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
965	153.0663971	-27.31669658	BRIGHTON ROAD	SANDGATE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
966	152.9804447	-27.53950021	BROWNE STREET	CORINDA	Loading Zone Passengers 2 Min. Max	
